Clade	j	b	Tmin	c	Tmax	topt	resid
294	Clade A1	294	0.0245198471157181	221.361035726098	0.770090336994245	291.904249811135	13.8	7.44760245974182e-16
296	Clade A1	296	0.02367402954387	221.054680426024	0.501493489501758	291.532328644805	11.6	4.94672573541393e-15
297	Clade A1	297	0.0518338827841719	250.513305469626	0.258838833486817	292.686327028173	10.9	1.94063681953417e-14
299	Clade A1	299	0.0191988511406578	202.66439455073	0.453058709453232	292.127443395576	11.1	3.91894574452385e-15
302	Clade A1	302	0.439098327713916	264.70394985482	0.0186940260831147	294.885843460811	7.80000000000001	2.26237738235766e-15
308	Clade A1	308	0.065486118195039	252.341105634136	0.131279672715653	293.405450553597	8.39999999999998	1.10465796188854e-15
312	Clade A1	312	0.0356829738958641	232.987729709756	0.162190288692165	295.750576418328	9.19999999999999	4.13325162295892e-15
316	Clade A1	316	0.0618833637469122	251.653514380046	0.17494825097164	291.497320682709	8.10000000000002	2.67607509334277e-15
317	Clade A1	317	0.0454843388547574	245.431638844986	0.396641794696862	292.299804370569	12.2	1.89064168386892e-15
323	Clade A1	323	0.0373474131750541	237.494307378976	0.292846598450924	292.23023933215	10.1	4.16444641737869e-15
324	Clade A1	324	0.160523681008532	260.364143952916	0.0358961397431196	298.171239791593	9.10000000000002	3.23301824835221e-15
329	Clade A1	329	0.511269875152258	261.663072588139	0.00930867570457169	300.274053961383	8.80000000000001	8.67111901826273e-16
334	Clade A1	334	0.0409124342557171	239.747797816686	0.211388484851968	293.559111551728	9.60000000000002	7.85046229341888e-16
335	Clade A1	335	0.0973826890935786	258.848771217815	0.08476397168099	296.050977392931	9.89999999999998	2.73304348598983e-15
340	Clade A1	340	0.0258790988911978	225.271989380879	0.570518059667951	291.433859074793	12.2	1.45180499073994e-15
343	Clade A1	343	0.0461192993965752	246.239999854838	0.43412619161272	291.9633507652	12.3	5.02061461497894e-15
348	Clade A1	348	0.0516510142586487	246.149129933748	0.124768981608303	293.559459087255	7.30000000000001	1.59346981103507e-15
355	Clade A1	355	0.0455851855596989	245.671209238871	0.206244262704532	294.651447743875	11	1.48122226308071e-15
360	Clade A1	360	0.038099281240173	241.454144472311	0.447376863794807	292.424342700118	12.6	7.44760245974182e-16
362	Clade A1	362	0.039252087298817	242.001191540918	0.419281609126979	291.692831480094	11.7	3.01604912316258e-15
364	Clade A1	364	0.0668672670172212	246.854693837908	0.0558601340847004	298.704730955611	7	2.22044604925031e-16
368	Clade A1	368	0.476818127019967	263.181691778664	0.0153229006284248	294.150515392537	6.5	3.55314733320295e-15
371	Clade A1	371	0.0642474873769765	253.522740745104	0.116030733373184	295.39601945929	9.69999999999999	1.27070833214167e-15
376	Clade A1	376	0.0645397598735221	249.906295082038	0.077167334086097	295.693505426408	7.10000000000002	3.36426888003544e-15
385	Clade A1	385	0.107503954841994	255.439258004785	0.0379842170989707	301.968388558695	10.1	4.00296604248672e-16
388	Clade A1	388	0.0805251741294134	257.607364241467	0.133631583575237	295.104156640869	10.8	2.96452416455455e-15
392	Clade A1	392	0.0283418006083377	228.151682384995	0.304437805012226	293.396427672425	10.9	2.83487574188695e-15
393	Clade A1	393	0.0567146229492882	249.026657279345	0.0980244813476255	295.241097901364	7.80000000000001	4.14813554445046e-15
394	Clade A1	394	0.0931858341207894	256.550815543853	0.0778135719628712	293.415904516231	7.10000000000002	2.46259379697232e-15
395	Clade A1	395	0.0430362683632435	241.835896677846	0.186246994936253	295.024407091381	10.4	1.55431223447522e-15
398	Clade A1	398	0.0386572453302994	239.398103154262	0.147837488146089	296.930308313897	10.3	8.95090418262362e-16
403	Clade A1	403	0.0779989179576462	252.995608853381	0.0833970419489673	295.731473109597	8.19999999999999	2.67837709384873e-15
408	Clade A1	408	0.0689805925188441	251.953148100489	0.078690071183373	297.290096622881	8.89999999999998	7.44760245974182e-16
410	Clade A1	410	0.0156538804408556	186.239165628817	0.4227944988207	292.181783810325	10.3	2.39728491299043e-15
415	Clade A1	415	0.0902188765779778	257.933241366566	0.105179900931355	294.901926453906	9.69999999999999	2.6990067472406e-15
418	Clade A1	418	0.0338946781174774	237.648708507144	0.689219344589078	291.229524865171	13.1	5.78275944600711e-15
426	Clade A1	426	0.0436180889805637	249.32517245729	0.254565453724927	294.674785539527	12.5	8.96810094042272e-16
429	Clade A1	429	0.274922119833475	261.122034587354	0.016290150597979	300.328462049294	9.19999999999999	1.76242441378566e-15
433	Clade A1	433	0.0402042470281032	232.787481748784	0.0623218973516832	303.063024659363	7.80000000000001	1.18018326364207e-15
436	Clade A1	436	0.0488328417434533	244.832074926602	0.150371029092751	293.340096200992	8	9.28879225241625e-16
441	Clade A1	441	0.247041822722305	262.768790358299	0.0290574348564863	296.303963506715	8.39999999999998	1.88737914186277e-15
446	Clade A1	446	0.0800331569968515	258.706519537363	0.151424735887677	293.199520556019	10	6.63189844267706e-15
448	Clade A1	448	0.0375222743811352	241.070026812114	0.460742323920592	291.082626137915	11.5	1.9484335006297e-15
449	Clade A1	449	0.0498786723492342	245.065721092657	0.193929624083676	291.797155858825	8.10000000000002	3.17531548745255e-15
450	Clade A1	450	0.049548730023731	245.595940729195	0.137713015933808	293.696418939607	7.89999999999998	2.08296302864827e-15
454	Clade A1	454	0.21430733589367	262.324083156182	0.0301903813876385	295.919863845537	8.10000000000002	3.00376373962156e-15
464	Clade A1	464	0.0191796197471392	202.975029570774	0.338002532927051	293.551997635233	10.7	2.33674914749673e-15
467	Clade A1	467	0.0308462926820987	229.399118952057	0.269330208535279	294.781783323984	11.5	2.04112019628891e-15
469	Clade A1	469	0.0988219255756607	256.836407721885	0.0834709277575559	292.828837454268	7	1.68373658217015e-15
471	Clade A1	471	0.0418081367440315	243.052432153301	0.172309912690161	295.820608302323	10.7	6.1814601913013e-16
475	Clade A1	475	0.0407845704063015	244.232418302318	0.413867584671432	291.739660322555	11.8	2.3921377574804e-15
476	Clade A1	476	0.0738494553937929	255.147019396548	0.116986965480261	293.149543047884	8.19999999999999	2.58529442791367e-15
477	Clade A1	477	0.0465950029951991	243.449310468454	0.109048470285144	296.273071297448	8.30000000000001	1.24622225431657e-15
479	Clade A1	479	0.0954588974013105	260.552523586628	0.147376384727172	292.981206306893	10.1	4.21884749357559e-15
480	Clade A1	480	0.0205178824529225	217.31307488691	0.162009376347052	304.433305495133	15.8	1.92296268638356e-16
481	Clade A1	481	0.0170409136303138	201.822484442081	0.440354662600425	295.199599015215	13.9	8.88178419700125e-16
483	Clade A1	483	0.0347132742549802	234.839450398997	0.366082195500772	291.039248736561	10	1.41448905465751e-14
484	Clade A1	484	0.0259527244696243	221.568156007183	0.194426313805548	295.256213908948	9.19999999999999	3.3417528618279e-15
486	Clade A1	486	0.0886784878165547	257.313821039217	0.0905515902637617	293.674409594817	8	2.89776716758409e-15
487	Clade A1	487	0.0475010261995667	241.012185764083	0.101032070041578	297.064081817012	8	7.10889595793335e-16
490	Clade A1	490	0.0645502605840645	245.407059652709	0.0709973470000943	297.430150304602	7	6.47365704913894e-16
492	Clade A1	492	0.0949552578553384	259.625721002342	0.137253860564165	293.433588045151	10	2.17841487852295e-15
493	Clade A1	493	0.0602883348613951	253.59252812393	0.229082380573665	291.978440551857	10	1.8081644487136e-15
495	Clade A1	495	0.0843697152473147	257.565584971346	0.133486926271548	293.364406232995	9.39999999999998	2.06214774378729e-15
496	Clade A1	496	0.0543388177282347	248.665155304874	0.176357574825802	292.408852779936	8.5	2.5805223067653e-15
501	Clade A1	501	0.0258497952361588	225.711652451517	0.585290592420699	291.938440757541	12.8	5.55111512312578e-16
504	Clade A1	504	0.101312624922274	255.745290830735	0.0580576783401558	297.098097893426	8.39999999999998	1.92936191434154e-15
507	Clade A1	507	0.0621188245351643	252.321358374051	0.146898582776014	293.171901399348	8.80000000000001	7.71185559270127e-16
513	Clade A1	513	0.0314231036324696	232.625640476069	0.465238375249208	291.882809435172	11.9	4.37658872352631e-15
515	Clade A1	515	0.0328765700158006	238.882509850081	0.408573506821231	293.017084796548	12.7	2.5583354594356e-15
516	Clade A1	516	0.0494149246129844	246.70600103839	0.313644245708086	291.442686039175	10.4	4.74287484026755e-16
518	Clade A1	518	0.029711608112145	232.05727984137	0.566031510524706	291.526698739381	12.4	3.37661150723213e-16
525	Clade A1	525	0.0438148663360951	241.916385960995	0.113606008749925	296.305177551055	8.30000000000001	7.7715611723761e-16
529	Clade A1	529	0.0862082414740045	259.80372246529	0.182997978872039	292.255171521353	10.2	2.72231122871763e-15
530	Clade A1	530	0.0199402087421514	209.113789835345	0.397638720875042	293.204010165039	11.6	1.35519990959551e-15
540	Clade A1	540	0.0789319289186978	253.808128969363	0.0598368656172972	299.72329977755	9.89999999999998	1.24622225431657e-15
543	Clade A1	543	0.0173852312167053	198.711739721924	0.486932170812253	292.465835797168	11.7	1.01146131238842e-15
547	Clade A1	547	0.0792884649229455	256.537200649852	0.116229570708191	294.882037802781	9.80000000000001	7.85046229341888e-16
548	Clade A1	548	0.0527094892681194	249.868111347018	0.256073263899575	291.83689191184	10	4.38221777887339e-15
550	Clade A1	550	0.0354882783789668	236.40300238117	0.149458888406927	294.055125425062	7.5	2.14993764247463e-15
551	Clade A1	551	0.056217704110701	251.816328203023	0.23801086062156	292.887599294276	10.8	4.71027737605132e-16
554	Clade A1	554	0.115174468338031	258.775749153179	0.0689414579506292	294.21229435819	7.80000000000001	2.38439619103687e-15
